Time;Connection State;Shift State;Speed;Latitude;Longitude;Odometer;Battery Current;Battery Level;Battery Range;Outside Temp;Inside Temp;Driver Temp Setting;Fan Status;Locked
05/12/2018 11:58;online;None;0;47.909637;11.280294;41444.056;;77;359.95;None;None;15.0;0;TRUE
05/12/2018 11:59;online;;0;;;0;;;0;;;;;
05/12/2018 12:00;online;;0;;;0;;;0;;;;;
05/12/2018 12:01;online;;0;;;0;;;0;;;;;
05/12/2018 12:02;online;;0;;;0;;;0;;;;;
05/12/2018 12:03;online;D;32.2;47.903503;11.26681;41445.517;;76;356.52;24.5;27.8;15.0;8;TRUE
05/12/2018 12:04;online;D;64.4;47.897247;11.260844;41446.36;;76;354.46;24.0;24.4;15.0;8;TRUE
05/12/2018 12:04;online;D;77.2;47.895538;11.257774;41446.687;;76;354.46;23.5;23.9;15.0;8;TRUE
05/12/2018 12:04;online;D;59.5;47.893974;11.254057;41447.011;;76;353.78;23.0;23.5;15.0;8;TRUE
05/12/2018 12:04;online;D;67.6;47.892872;11.25016;41447.336;;76;353.09;23.0;23.1;15.0;8;TRUE
05/12/2018 12:05;online;D;77.2;47.892197;11.245923;41447.677;;76;352.41;23.0;22.7;15.0;8;TRUE
05/12/2018 12:05;online;D;75.6;47.891899;11.241277;41448.027;;75;352.41;23.0;22.4;15.0;8;TRUE
05/12/2018 12:05;online;D;85.3;47.89193;11.236248;41448.399;;75;351.72;22.5;22.2;15.0;8;TRUE
05/12/2018 12:06;online;D;67.6;47.889648;11.232866;41448.771;;75;351.72;23.0;22.0;15.0;8;TRUE
05/12/2018 12:06;online;D;64.4;47.887703;11.22891;41449.142;;75;351.03;22.5;21.8;15.0;8;TRUE
05/12/2018 12:06;online;D;54.7;47.886738;11.225809;41449.417;;75;351.03;22.5;21.7;15.0;8;TRUE
05/12/2018 12:06;online;D;54.7;47.885223;11.223238;41449.691;;75;351.03;22.4;21.5;15.0;8;TRUE
05/12/2018 12:07;online;D;53.1;47.88422;11.220935;41449.907;;75;351.03;22.5;21.3;15.0;8;TRUE
05/12/2018 12:07;online;D;33.8;47.883568;11.218262;41450.123;;75;351.03;22.7;21.0;15.0;8;TRUE
05/12/2018 12:07;online;D;51.5;47.883907;11.215563;41450.324;;75;351.03;23.0;20.8;15.0;8;TRUE
05/12/2018 12:08;online;D;51.5;47.883938;11.212246;41450.594;;75;350.35;23.0;20.6;15.0;8;TRUE
